,ID,Marking,Finishing,Aggression,GKPositioning,BallControl,SprintSpeed,GKDiving,Jumping,Penalties,Stamina,StandingTackle,Agility,HeadingAccuracy,Reactions,LongPassing,Strength,ShotPower,Vision,GKHandling,Age,Dribbling,Name,Volleys,LongShots,Positioning,SlidingTackle,Interceptions,Acceleration,Balance,ShortPassing,Composure,Crossing,GKKicking,Overall,GKReflexes,Curve
7217,190937,37,65,83,12,68,86,16,62,43,77,12,86,59,66,42,78,67,61,7,29,67,Quincy Amarikwa,59,60,67,15,23,79,88,64,64,54,7,68,11,49
7219,190792,14,10,17,63,22,38,71,75,14,18,18,56,14,65,20,73,22,32,65,27,11,Parfait Mandanda,13,18,11,16,17,53,42,23,30,11,67,68,71,15
7220,190780,13,12,40,62,20,60,72,75,16,45,15,64,14,67,32,86,23,14,61,27,19,Sean Johnson,17,20,13,15,28,60,52,34,36,13,60,68,75,13
7221,190734,11,17,19,64,19,26,73,55,29,29,15,39,16,65,12,69,21,25,62,26,15,Giorgi Makaridze,13,15,15,13,17,30,58,14,18,9,53,68,72,15
7222,190724,12,65,74,7,66,76,7,71,43,78,12,56,63,71,49,74,73,57,11,26,64,Marvin Pourié,61,50,68,13,35,74,59,62,62,54,11,68,12,42
7224,190682,59,48,64,7,74,65,13,70,46,71,61,73,55,60,68,72,62,66,8,25,65,Yaser Kasim,51,49,54,60,63,65,73,75,78,50,12,68,16,57
7225,190619,42,65,68,7,68,68,15,72,65,68,48,72,50,70,40,71,64,61,13,30,76,Mike Grella,60,58,71,44,50,69,70,66,74,61,9,68,10,71
7226,190588,53,63,62,15,66,78,11,73,59,86,51,75,63,66,56,64,63,65,12,28,65,Rodney Wallace,56,60,66,55,60,80,72,63,65,65,15,68,16,69
7230,190467,66,55,65,13,68,64,6,60,70,82,68,64,58,67,66,74,83,69,10,25,60,Diego de Buen,68,70,52,66,69,68,67,69,68,60,15,68,13,65
7231,190454,67,51,77,14,71,76,16,65,34,75,65,66,54,60,53,69,74,62,8,25,65,Stian Ringstad,36,62,63,64,67,75,71,64,67,67,8,68,8,62
7234,190060,62,48,81,14,69,90,12,91,44,90,65,90,47,63,65,70,64,63,15,26,66,Nzuzi Toko,65,57,65,66,62,90,80,68,67,53,8,68,11,45
7240,189278,55,60,68,8,67,64,6,50,62,77,66,55,42,65,67,68,70,69,14,27,65,Luke Murphy,47,73,58,61,65,61,64,72,66,66,16,68,15,68
7243,188807,68,40,84,6,62,67,11,77,38,73,67,76,61,66,57,73,80,54,8,29,61,Kevin Conboy,42,53,56,67,62,67,64,66,64,71,15,68,9,68
7244,188779,66,35,65,12,57,66,10,70,47,58,69,50,59,60,54,85,56,50,8,27,32,Luke DeVere,31,44,35,66,70,60,49,63,67,32,13,68,7,21
7245,188540,27,51,57,16,72,85,16,56,63,67,35,81,38,58,52,65,69,60,14,25,79,Rajiv van La Parra,51,54,62,36,34,84,74,66,61,58,11,68,12,67
7248,188411,65,28,68,12,55,59,14,65,51,60,67,45,72,55,73,83,55,51,8,29,49,Bruno Perone,19,33,52,64,69,56,60,61,46,32,12,68,16,63
7250,188336,67,22,56,10,50,60,5,78,29,64,70,59,68,62,43,76,58,46,15,26,32,Alessandro Tuia,30,40,25,70,67,64,56,55,56,36,12,68,11,36
7251,188313,19,57,69,9,72,82,15,44,53,72,20,78,44,62,59,53,73,64,15,27,74,Diogo Viana,53,54,63,23,35,84,82,60,67,70,11,68,15,69
7252,188278,11,11,33,67,16,50,70,67,14,32,14,67,11,59,17,62,19,33,65,25,13,Mark Birighitti,15,12,9,14,23,46,41,29,31,12,64,68,73,12
7253,188202,11,11,27,65,19,27,69,74,20,27,20,36,13,64,33,54,46,28,66,26,12,Yannick Thoelen,13,12,5,19,12,28,33,26,32,14,61,68,70,16
7254,188000,65,43,74,8,65,71,13,70,55,81,65,72,54,69,60,79,72,58,8,28,59,Sandro Manoel,42,58,31,60,66,74,62,69,61,70,13,68,13,69
7257,187925,25,68,44,15,68,78,11,61,67,64,33,74,54,62,57,57,68,64,6,26,70,Yannis Tafer,58,62,65,25,47,75,71,65,61,66,13,68,14,70
7261,187176,70,39,66,11,59,56,8,78,51,73,69,68,70,60,41,74,61,50,13,32,58,Lee Yun Pyo,51,57,13,67,64,50,66,49,50,43,12,68,13,44
7262,186950,65,47,63,11,71,79,5,78,48,84,64,71,61,65,61,79,58,59,11,26,69,Fabio Daprelà,46,61,61,66,61,74,62,66,70,66,7,68,6,53
7263,186756,54,58,76,10,66,78,14,83,69,64,52,85,52,59,64,58,68,70,9,30,68,Danny Swanson,59,64,67,54,60,75,89,66,62,65,7,68,11,64
7264,186725,64,21,70,7,49,55,7,74,35,75,65,45,65,67,37,93,23,45,12,31,30,David Horst,13,21,27,61,62,34,30,63,47,38,13,68,6,39
7265,186715,48,56,48,8,66,79,9,53,50,79,56,75,55,61,59,51,62,67,13,30,68,Shea Salinas,55,59,59,53,57,84,62,64,53,67,8,68,9,74
7266,186536,62,64,75,12,68,76,16,65,65,71,63,82,66,65,64,75,80,62,7,27,71,Brek Shea,61,59,64,59,63,72,56,67,67,62,13,68,9,72
7267,186503,64,40,66,14,59,72,6,70,45,84,69,64,62,67,57,66,64,56,15,29,59,Tim Breukers,53,49,53,69,68,66,65,61,59,62,16,68,11,58
7272,184927,27,53,41,10,68,92,14,67,54,72,26,84,49,62,52,53,70,59,7,28,72,Idir Ouali,60,62,57,17,31,91,80,62,62,62,7,68,11,65
7275,184901,66,47,68,10,64,74,15,74,61,75,66,68,50,70,61,68,48,58,11,30,64,Shin Kwang Hoon,58,42,50,65,64,73,72,65,56,67,7,68,14,51
7276,184847,36,55,39,11,71,55,12,52,70,67,37,71,39,65,65,55,81,68,8,28,64,John Goossens,74,74,66,28,39,61,76,75,66,66,6,68,11,77
7277,184635,26,74,51,14,70,65,12,47,66,62,23,70,59,63,61,61,65,62,6,28,69,Stef Nijland,69,70,63,33,33,65,46,70,55,63,14,68,13,71
7280,184331,72,21,67,14,52,69,12,75,39,70,74,58,64,61,55,70,71,31,6,26,50,Michelangelo Albertazzi,21,52,39,75,69,68,57,61,65,59,11,68,9,55
7282,184274,65,35,77,7,58,69,14,61,50,72,64,58,66,66,65,78,67,59,15,28,53,Chris Basham,62,69,36,63,68,66,64,64,59,52,6,68,6,48
7284,184058,10,10,39,65,24,34,68,45,15,30,15,28,11,60,21,40,32,39,63,29,10,Jackson Mabokgwane,10,10,19,12,22,38,65,22,52,20,70,68,75,14
7285,184001,61,51,82,9,72,66,9,74,82,78,68,74,47,69,70,63,70,63,12,28,68,Donny Gorter,65,67,65,72,65,67,77,71,60,60,13,68,15,71
7286,183741,65,53,67,9,70,83,11,87,59,70,63,85,45,66,56,58,41,59,7,28,70,Michael Zullo,58,49,63,66,61,79,88,68,48,68,10,68,6,62
7287,183601,69,18,73,8,55,63,16,32,44,56,70,41,68,60,41,82,31,30,16,29,31,Patrick Fabian,27,15,15,69,68,35,34,51,44,40,6,68,6,38
7288,183578,67,28,68,8,52,66,7,80,30,39,69,57,67,63,46,79,54,46,13,30,32,Sören Gonther,14,29,30,65,68,58,58,50,68,40,6,68,6,32
7289,183573,65,45,72,6,63,54,14,65,64,83,70,68,59,67,61,68,73,58,7,30,57,Norman Theuerkauf,44,62,52,67,70,55,65,67,65,61,11,68,12,57
7291,183356,60,41,72,9,62,62,13,83,54,92,64,58,61,69,62,73,63,66,11,30,48,Thomas Ayasse,44,66,60,61,66,58,62,66,70,59,14,68,15,64
7295,182883,48,65,60,10,61,86,13,81,68,76,30,85,62,70,54,70,65,54,6,27,64,Kieran Agard,61,60,69,22,46,83,75,60,55,60,9,68,7,40
7296,182844,61,38,70,8,62,69,8,81,52,72,64,73,56,58,64,69,68,56,13,34,61,Rafał Grzyb,58,67,64,69,82,68,77,64,74,65,11,68,10,57
7297,182206,11,19,29,64,33,54,69,63,14,32,19,56,11,68,34,70,15,48,64,28,14,Richard O'Donnell,12,11,13,19,16,57,51,26,49,23,67,68,70,11
7298,182160,38,64,71,9,67,93,10,44,63,58,42,71,54,60,47,74,73,61,10,28,71,Erling Knudtzon,58,55,65,39,37,92,76,55,60,63,15,68,11,47
7299,181917,66,53,75,6,65,65,9,74,67,90,64,69,63,63,67,72,72,68,15,31,63,Luis Miguel Noriega,51,73,59,59,67,68,72,68,71,58,7,68,8,67
7300,181733,10,12,22,69,22,42,70,57,24,45,10,32,8,65,25,71,21,35,63,29,13,Andreas Lukse,12,9,15,9,28,46,57,32,13,9,60,68,70,12
7301,181694,12,10,22,71,15,42,68,51,14,31,9,56,11,66,10,56,20,46,73,28,14,Johann Carrasso,12,8,12,8,24,52,55,17,17,11,66,70,66,16
7303,180759,67,63,84,14,69,58,12,82,54,58,66,73,64,60,64,72,75,65,8,31,62,Hiroyuki Taniguchi,65,56,60,64,61,57,61,68,60,54,11,68,6,55
7305,180726,58,55,61,12,66,66,12,69,60,88,61,74,35,65,65,55,56,69,15,34,63,Matt McKay,57,52,64,42,63,64,71,71,68,65,14,68,6,57
7307,180339,35,48,55,13,68,79,8,74,53,76,44,77,46,63,67,62,74,59,10,28,67,Nils Schouterden,54,66,62,43,43,79,75,65,56,71,9,68,9,67
7309,179971,27,66,48,15,65,84,11,32,42,74,32,60,56,64,41,89,71,46,15,27,66,Ridge Munsy,49,62,70,29,38,83,51,50,56,39,9,68,14,59
7310,179899,64,51,71,12,70,61,11,76,63,83,67,83,37,68,65,66,65,76,6,29,68,Ari Skúlason,57,68,61,66,66,71,85,68,70,74,7,68,13,66
7311,179856,46,43,77,12,67,63,10,80,56,87,70,81,45,68,64,58,65,69,10,34,59,David Perkins,32,62,56,70,72,68,84,68,69,53,12,68,8,38
7312,179842,73,15,63,9,62,59,7,72,46,79,73,57,59,72,58,58,25,53,8,28,58,José San Román,14,15,60,70,74,73,71,54,28,48,15,68,11,32
7313,179808,70,49,63,14,65,75,14,77,52,67,62,73,59,68,63,64,77,59,7,29,66,Osmar Mares,56,69,55,65,57,76,79,68,74,74,6,68,16,70
7314,179800,62,52,70,6,68,77,10,73,52,79,67,76,52,63,62,54,64,54,10,28,68,Jesús Paganoni,52,56,60,65,64,79,79,65,62,68,15,68,8,48
7316,179685,10,14,35,72,9,49,69,55,18,45,10,29,13,64,33,87,19,41,61,30,11,Chris Seitz,12,14,13,10,21,58,22,35,49,15,71,68,68,16
7317,179663,67,53,47,13,66,75,14,64,53,80,67,79,57,65,66,60,57,64,14,28,66,Tommy Rowe,43,52,67,65,65,74,71,67,63,64,14,68,16,38
7319,178589,70,51,84,11,62,72,15,75,42,83,67,73,55,56,57,68,65,58,8,28,61,Scott Jamieson,21,49,66,66,65,75,71,60,56,65,11,68,9,69
7320,178565,61,22,77,6,63,81,12,77,34,83,59,85,52,66,55,38,65,66,11,30,59,Bruno Urribarri,31,64,59,62,62,84,78,60,38,78,12,68,12,63
7322,178520,15,63,28,10,70,76,14,57,57,81,15,74,53,70,54,64,62,63,11,28,70,Antonio Piccolo,59,65,64,15,18,83,62,63,65,64,7,68,7,59
7323,178508,23,70,51,15,64,69,7,82,70,68,40,72,70,68,40,72,68,60,7,30,60,Andrea Cocco,64,52,70,30,20,70,63,58,68,48,7,68,13,52
7326,178221,70,39,75,8,60,72,15,76,59,72,71,61,68,65,58,70,63,55,9,31,57,Michael Orozco,19,59,48,70,65,69,63,62,60,57,7,68,7,48
7327,178164,69,23,69,11,57,71,14,68,25,65,67,48,60,68,59,74,62,51,7,28,35,Kim André Madsen,34,35,44,65,71,65,58,66,68,42,15,68,10,25
7329,177793,60,63,54,6,64,69,9,80,75,90,65,70,60,67,72,82,75,68,14,28,63,Greg Tansey,58,74,60,62,60,65,63,73,68,63,15,68,15,74
7331,177605,61,46,75,16,64,52,12,61,57,78,68,59,50,65,65,65,58,66,8,30,48,Jon Erice,47,57,52,60,67,58,72,72,63,56,13,68,8,64
7333,177521,64,40,69,10,65,73,16,68,59,78,69,69,53,65,62,73,71,58,13,30,57,Bernd Nehrig,57,59,48,64,71,69,76,67,63,62,9,68,11,68
7335,177315,15,64,65,11,68,54,11,45,72,61,33,68,48,55,62,58,64,74,10,33,70,Gary Roberts,66,66,65,30,33,53,72,68,70,68,9,67,7,70
7338,177285,64,55,75,10,66,63,6,87,58,88,66,69,73,69,64,80,65,60,12,31,65,Romain Vincelot,48,53,62,65,66,64,69,63,65,56,10,68,15,43
7340,176924,20,65,56,10,71,67,14,75,65,64,24,73,63,61,59,74,68,65,7,29,69,Federico González,40,63,68,22,46,78,69,64,62,66,10,68,12,59
7343,176575,64,54,67,7,65,72,7,73,34,88,64,72,58,65,62,80,49,60,14,30,59,Scott Sutter,47,53,62,64,62,66,69,69,64,67,14,68,11,54
7344,176568,68,27,73,10,57,49,11,63,45,71,69,54,69,55,60,76,53,46,13,27,33,Anthony Marin,30,53,33,67,63,60,59,57,59,33,9,68,16,42
7345,176540,15,10,23,73,23,44,62,42,24,32,10,38,20,69,21,62,25,45,68,38,16,Bréiner Castillo,23,9,13,19,21,34,40,25,26,12,65,68,66,14
7349,176357,64,51,74,16,65,65,15,63,61,80,68,70,64,66,61,78,62,60,13,30,61,John Mousinho,55,55,60,66,62,60,68,63,61,51,11,68,8,46
7353,175934,11,14,35,66,33,52,68,77,37,38,18,60,19,66,37,60,44,42,65,28,20,Kenny Steppe,11,16,11,11,23,59,60,35,49,13,63,68,69,15
7354,175092,65,49,71,15,61,66,11,72,64,70,68,63,70,67,63,76,81,55,9,33,63,Maynor Figueroa,57,67,42,68,70,69,65,66,64,68,10,68,10,62
7355,174754,22,63,49,11,68,80,6,72,67,69,25,71,59,73,48,66,71,66,6,28,69,Gabriel Torres,65,67,65,27,35,75,68,64,58,57,6,68,6,64
7356,173815,61,49,74,9,59,52,15,59,46,90,66,58,67,61,62,85,76,52,13,28,49,Michael Bostwick,41,74,52,62,68,65,34,67,66,41,6,68,9,46
7357,173695,65,19,64,15,62,73,12,64,14,70,70,75,68,65,61,74,28,47,16,29,56,Mark Reynolds,15,19,22,67,66,75,71,64,67,63,13,68,13,33
7358,173671,61,35,81,6,50,51,11,66,36,70,69,33,65,56,45,85,51,47,13,30,43,Kyle McFadzean,28,33,20,63,70,53,52,53,45,20,11,68,6,22
7359,173660,67,59,71,10,64,69,16,76,80,76,66,71,56,66,60,61,68,58,13,28,65,Paul Caddis,46,66,62,64,64,70,82,64,62,71,12,68,13,73
7360,173654,29,63,72,16,69,73,12,84,64,84,49,87,62,68,65,42,61,66,13,29,68,Paul McGowan,55,60,62,25,46,74,85,67,67,59,16,68,16,69
7362,173533,12,12,37,64,22,55,70,78,11,35,17,34,19,59,23,67,12,46,69,28,18,David Button,11,13,12,11,24,60,45,34,48,13,57,68,70,12
7363,173531,13,13,28,65,23,45,65,57,11,25,11,54,15,62,15,62,12,67,68,26,14,Ben Amos,13,15,16,12,23,50,52,12,63,14,67,68,71,13
7365,173450,64,33,55,12,60,83,15,46,32,90,68,63,58,60,56,71,45,38,7,28,62,James Meredith,25,34,42,66,57,82,62,59,47,59,13,68,14,31
7366,173349,19,57,36,12,63,90,10,58,59,73,23,82,30,62,58,33,69,61,8,29,67,Lionel Ainsworth,61,60,60,15,25,90,91,63,51,64,14,68,12,63
7367,173160,49,40,66,11,70,67,14,64,61,73,57,69,62,69,70,70,67,71,6,27,66,Nicolas Viola,58,69,49,56,59,74,62,73,64,68,9,68,11,70
7370,172555,23,69,83,9,63,77,13,67,66,68,17,72,56,60,61,69,73,45,11,27,65,Ronnie Schwartz,60,68,71,23,37,82,64,63,74,63,6,68,14,55
7371,172475,49,66,53,7,73,69,12,62,52,60,52,72,52,60,68,60,68,71,8,30,73,Luigi Bruins,69,67,61,54,60,64,54,73,75,65,14,68,9,70
7374,172198,15,14,20,66,23,52,70,42,23,32,13,48,15,57,35,54,18,29,70,31,13,Jessy Moulin,14,14,11,14,16,51,56,32,59,15,65,68,70,14
7375,172179,63,50,75,12,63,70,13,70,42,85,67,72,68,68,60,71,63,54,14,29,53,Tommy Spurr,58,55,33,63,63,66,61,64,58,68,13,68,16,26
7376,171900,67,40,70,16,64,76,9,54,58,70,68,59,62,63,60,87,74,59,16,30,59,Fabian Schönheim,50,55,55,65,62,64,50,66,64,70,15,68,9,68
7381,170472,66,57,60,15,65,75,6,58,53,86,66,74,60,63,59,68,53,55,8,28,63,Jonathan Parr,50,54,61,64,63,74,69,64,64,65,11,68,7,46
7384,169568,45,65,62,6,70,73,6,47,53,63,47,70,37,60,60,57,68,56,7,29,72,Adam Hammill,64,70,62,46,43,77,71,63,68,68,8,68,8,63
7389,168590,65,52,75,8,61,52,11,55,62,77,69,48,72,65,62,84,71,64,10,31,56,Markus Karl,44,56,61,64,71,53,48,64,70,52,15,68,15,52
7393,167180,57,63,69,9,70,77,14,60,60,81,46,74,65,70,66,71,78,65,11,31,68,Fredrik Nordkvelle,59,66,68,41,58,75,77,69,69,64,14,68,6,64
7394,166097,13,12,44,67,23,57,70,68,12,45,23,44,23,65,25,79,12,32,65,30,17,Fatih Öztürk,13,14,12,19,24,55,35,27,15,20,64,68,70,20
7395,165903,63,54,66,7,64,72,6,45,51,69,64,78,49,70,63,72,62,57,16,33,68,Choi Hyo Jin,57,60,68,61,76,77,77,68,60,67,11,68,11,57
7398,165870,68,39,59,13,62,65,11,65,44,64,71,56,67,71,72,66,66,67,11,33,56,Cho Yong Hyung,44,65,27,69,67,65,67,63,71,57,10,68,9,44
7400,165496,70,46,71,15,65,70,14,87,57,45,72,65,65,69,59,71,58,61,7,31,57,Gonzalo Prósperi,62,46,57,71,69,76,54,65,55,63,11,68,8,46
7406,164467,44,66,80,9,73,76,13,71,67,85,34,85,52,71,56,33,73,71,15,30,74,Jamie Ward,64,70,68,29,48,75,91,66,74,65,12,68,11,48
7408,163955,64,13,73,9,59,45,11,70,16,60,65,63,73,66,42,80,35,49,12,31,47,Steven Anderson,19,18,28,64,65,33,58,54,76,55,11,68,7,48
7409,163445,57,61,66,14,68,67,8,70,68,90,50,70,59,68,67,64,68,69,13,31,63,Lee Frecklington,59,69,67,54,58,70,70,68,64,65,7,68,16,56
7411,163203,69,22,70,12,61,53,8,55,29,64,70,41,68,61,62,72,35,52,6,30,57,Darren O'Dea,19,26,23,67,66,55,62,60,66,42,7,68,11,20
7412,163201,9,12,18,68,15,34,68,52,14,33,17,48,20,60,22,49,20,40,66,32,10,Michael McGovern,15,13,16,12,23,32,47,13,30,11,64,68,69,11
7414,162875,64,37,81,15,64,65,12,68,62,80,68,64,54,67,61,72,52,53,11,29,68,Uğur Uçar,41,34,62,70,65,66,69,67,64,64,6,68,11,56
7415,162512,63,24,74,1,59,62,1,72,31,65,65,44,63,65,58,85,51,40,1,29,47,Scott Cuthbert,23,34,42,62,70,51,35,59,65,46,1,68,1,38
7416,162407,65,31,70,10,57,64,6,80,60,71,65,57,63,62,57,83,75,45,11,31,46,Michael Jakobsen,39,56,39,62,65,57,50,65,65,63,10,68,9,37
7418,162053,67,23,75,14,57,67,16,75,25,80,72,64,71,64,56,80,40,50,10,31,45,Luke Chambers,17,24,21,66,68,65,60,65,52,63,8,68,7,34
7421,161943,67,32,68,13,50,55,10,83,67,67,71,57,71,67,58,75,50,35,14,32,23,Elliott Ward,24,33,34,67,64,34,57,54,61,32,9,68,8,26
7422,161807,13,11,34,68,24,24,68,54,32,30,18,35,11,72,24,44,23,10,64,37,12,Marián Kelemen,12,12,12,12,14,30,30,29,41,12,65,68,67,13
7423,161667,65,34,74,13,63,67,11,93,39,77,68,74,63,63,67,69,75,65,6,30,56,Luis Robles,29,54,60,67,64,71,72,68,62,52,6,68,16,43
7426,158902,67,27,69,15,69,60,12,68,63,70,66,64,62,64,67,71,73,65,9,30,66,Daniel Fox,42,65,56,68,68,62,66,68,70,72,11,68,7,75
7432,158254,29,71,35,8,65,74,7,47,71,67,22,72,55,65,54,57,65,66,13,33,70,Alex Brosque,66,66,70,19,23,75,57,64,65,59,12,68,13,68
7433,158167,67,29,69,16,57,73,11,81,45,70,65,65,69,60,47,75,42,47,16,30,42,Mario Sonnleitner,31,47,33,67,70,72,59,57,59,32,10,68,14,45
7438,157217,48,59,76,10,70,78,9,70,61,71,61,76,55,68,65,66,66,65,15,30,74,Neri Cardozo,55,65,67,52,59,78,74,67,70,66,15,68,13,71
7439,157168,72,53,68,6,59,64,8,71,75,82,69,69,45,64,59,59,59,57,12,32,58,Manu,47,46,59,64,69,68,79,72,81,64,9,68,10,73
7443,156164,65,38,66,9,65,65,7,80,30,76,66,62,68,60,53,70,65,47,16,30,52,Martin Cranie,27,33,45,65,67,67,63,67,61,62,9,68,6,37
7448,155541,68,24,82,10,53,58,11,76,22,66,68,65,67,59,52,74,48,32,14,32,41,Kenneth Emil Petersen,33,33,47,66,64,55,57,60,56,48,12,68,10,44
7449,155517,33,61,76,14,69,77,13,74,64,73,38,69,58,70,70,64,69,75,12,31,69,Danny Olsen,60,66,68,31,38,74,57,72,68,67,10,68,15,53
7450,155422,12,15,38,68,17,35,69,53,15,25,15,42,14,54,13,68,24,45,69,36,14,Jakub Szmatuła,12,9,16,12,22,31,41,21,67,9,64,68,71,11
7453,152870,69,37,70,14,56,65,13,70,68,68,74,62,70,71,40,80,71,51,10,33,42,Felipe Saad,31,60,25,68,49,53,57,41,55,56,7,68,11,31
7458,149270,61,42,73,7,61,47,5,78,57,81,66,60,57,70,63,78,73,63,11,32,59,Carl Valeri,59,60,56,65,70,66,74,67,76,54,13,68,13,49
7459,149258,17,10,22,69,20,27,63,32,16,16,10,28,16,70,17,54,15,34,64,34,18,Alex Cordaz,10,15,8,10,7,25,29,12,33,12,57,68,71,10
7463,148720,55,35,74,7,66,61,15,77,50,69,67,66,45,72,65,72,67,60,15,31,53,Henning Hauger,44,56,47,61,73,66,70,67,67,40,16,68,10,58
7469,146453,66,45,74,13,65,86,8,80,49,88,62,84,52,65,53,68,59,55,15,33,67,Raúl Cámara,40,45,51,65,57,80,70,65,60,66,10,68,15,56
7472,144282,23,63,57,10,71,78,9,82,43,54,29,83,49,63,63,48,72,68,14,30,70,Serdar Özkan,53,67,65,22,29,79,90,60,62,66,10,68,7,72
7474,144024,13,9,31,69,26,30,72,56,26,27,11,57,11,60,35,57,38,51,63,33,14,David Zibung,9,16,14,19,14,27,45,37,55,14,55,68,71,13
7475,143751,66,41,61,16,63,68,16,60,48,82,71,72,40,66,67,64,48,55,16,29,66,Ferhat Öztorun,34,39,64,70,71,66,63,62,67,62,16,68,6,47
7480,143112,34,61,75,12,66,91,7,64,67,67,36,78,64,71,58,62,69,66,9,35,66,Pablo Lugüercio,60,63,67,33,34,78,74,62,64,59,13,68,13,43
7481,143107,61,48,75,12,74,54,13,62,63,48,58,61,56,83,65,68,59,80,14,35,66,Marcos Gelabert,47,56,55,55,63,59,70,67,70,52,9,68,14,74
7485,140445,33,67,68,6,67,66,9,91,63,84,32,74,76,64,51,73,68,68,8,34,64,Steven MacLean,55,53,69,27,31,64,71,66,75,44,16,68,14,49
7487,140181,11,12,21,65,16,19,69,52,12,70,12,28,18,52,33,51,21,38,69,37,14,Hitoshi Sogahata,18,15,10,13,12,17,32,26,20,13,70,68,74,10
7488,139727,13,15,17,65,34,38,68,60,26,21,10,44,13,63,37,63,34,18,70,30,15,Frank Boeckx,12,13,14,17,16,47,47,37,23,15,71,68,67,13
7490,139476,17,17,30,65,24,51,69,65,16,40,13,64,17,65,32,70,23,45,66,31,16,Dean Gerken,19,15,11,12,21,46,65,31,44,13,67,68,70,16
7492,138729,54,63,62,10,70,75,11,64,62,78,58,59,61,63,68,73,69,67,11,34,66,Kasper Risgård,45,65,69,56,46,66,70,71,55,56,11,68,14,67
7493,138413,67,28,69,7,50,52,10,72,45,67,74,47,72,51,53,72,38,44,16,33,44,Matthew Kilgallon,39,12,42,68,71,52,53,50,50,49,16,68,14,38
7495,137510,73,28,66,9,66,51,6,77,59,71,76,57,69,72,68,72,61,35,12,32,43,Arnold Kruiswijk,35,41,33,71,74,47,66,71,77,45,6,68,6,33
7496,137267,65,59,86,6,68,69,8,82,63,82,66,67,69,71,67,75,80,62,6,34,65,Ricardo Clark,59,60,66,67,64,69,74,70,63,54,8,68,10,55
7499,128529,14,12,36,66,23,54,70,74,18,29,14,51,15,65,39,61,23,44,64,30,13,Ufuk Ceylan,15,14,13,15,26,56,41,29,29,15,63,68,71,11
7502,116314,15,15,28,67,30,36,69,60,15,38,12,59,18,66,27,70,23,44,62,31,16,David Martin,14,14,13,12,15,42,40,33,60,18,67,68,72,13
7504,111590,37,62,49,12,65,83,12,59,51,78,39,78,43,61,52,65,63,63,8,30,71,Liam Feeney,59,60,61,38,38,83,70,57,54,67,10,68,8,63
7506,110019,70,44,64,14,60,46,12,66,35,33,71,49,70,70,60,70,40,59,15,34,43,Dorado,30,19,39,57,70,43,60,70,63,43,13,68,10,49
7508,107305,69,21,72,16,57,51,14,71,47,59,69,43,69,52,60,70,65,44,6,35,52,Mickaël Tacalfred,40,53,31,69,66,46,69,66,50,60,13,68,9,53
7509,105827,18,70,58,11,64,65,15,72,71,52,33,63,66,67,49,75,67,67,14,33,61,Paweł Brożek,65,64,72,22,30,65,69,67,73,60,8,68,12,54
7510,104702,43,61,67,8,71,76,9,70,49,62,51,73,62,59,63,83,77,68,15,34,70,Daniel Braaten,68,63,68,55,46,75,63,67,79,67,7,68,16,69
7513,227529,64,31,63,10,58,33,13,72,37,70,72,30,71,64,43,71,59,42,6,35,38,Mark Hudson,37,39,32,70,72,33,59,58,64,27,9,68,9,26
7514,241032,37,62,58,13,67,76,11,61,51,62,43,72,55,65,63,66,63,68,6,33,65,Sigamary Diarra,60,60,63,38,49,76,72,69,68,67,9,68,9,66
7516,52326,13,12,45,69,22,47,69,66,22,31,12,38,12,59,34,62,25,50,70,32,11,Eldin Jakupović,22,11,11,11,24,46,45,39,67,11,65,70,73,11
7517,51353,15,70,65,8,63,70,6,74,65,74,23,68,59,66,47,58,71,59,15,37,68,Kenny Miller,68,69,68,22,32,72,72,66,81,57,14,68,10,64
7520,49045,16,69,65,14,62,55,9,54,82,54,18,57,73,60,56,83,80,52,11,33,56,Kris Boyd,65,62,68,17,13,53,59,60,70,54,8,68,7,53
7523,12940,70,26,81,10,38,34,8,65,45,62,69,27,65,58,49,90,48,23,8,34,29,Emanuel Pogatetz,24,36,43,62,62,34,51,66,63,33,9,68,8,22
7533,236920,25,58,52,7,72,76,5,55,64,58,32,84,52,55,44,44,66,64,6,17,74,Justin Kluivert,57,55,55,27,35,82,75,60,52,72,14,67,12,67
7536,236639,51,46,66,5,68,62,7,75,51,70,60,60,57,56,73,68,70,69,5,22,64,Xeka,45,50,60,59,65,62,54,74,48,45,11,67,6,71
7537,236466,63,32,69,15,65,68,15,62,48,69,66,60,52,59,58,55,48,55,9,19,65,Clément Michelin,38,37,57,68,62,68,72,65,53,75,12,67,8,75
7538,236331,70,30,65,14,68,64,11,68,32,60,71,56,76,53,38,70,52,40,7,21,48,Eirick Cabaco,28,28,60,68,51,68,49,49,62,22,13,67,6,38
7539,236300,31,63,57,13,67,76,14,60,61,68,26,76,58,62,60,67,69,58,6,23,70,Samuel Eduok,59,65,64,35,18,76,79,65,52,63,12,67,15,60
7545,235997,61,47,60,13,63,70,14,49,49,65,64,77,49,64,71,55,60,56,11,18,61,Fran Beltrán,48,48,52,59,72,75,81,75,57,57,8,67,9,49
7547,235813,53,64,42,8,66,68,11,42,68,57,55,63,47,64,64,69,67,66,14,20,63,Răzvan Marin,62,68,67,52,61,71,61,69,58,66,6,67,8,65
7548,235790,39,50,40,10,72,69,6,69,49,56,42,72,56,60,68,60,56,69,8,17,72,Kai Havertz,51,47,59,38,31,75,55,69,54,64,11,67,12,55
