,Marking,Finishing,Aggression,GKPositioning,BallControl,SprintSpeed,GKDiving,Jumping,Penalties,Stamina,StandingTackle,Agility,HeadingAccuracy,Reactions,LongPassing,Strength,ShotPower,Vision,GKHandling,Age,Dribbling,Name,Volleys,LongShots,Positioning,SlidingTackle,Interceptions,Acceleration,Balance,ShortPassing,Composure,Crossing,GKKicking,Overall,GKReflexes,Curve,ID
5836,47.0,51.0,48.0,13.0,72.0,70.0,10.0,55.0,57.0,68.0,55.0,76.0,49.0,73.0,66.0,61.0,67.0,63.0,9.0,24,73.0,Leandrinho,54.0,61.0,61.0,54.0,52.0,70.0,71.0,71.0,70.0,61.0,8.0,69,15.0,71.0,210743
5838,69.0,46.0,78.0,12.0,69.0,66.0,8.0,69.0,44.0,73.0,71.0,68.0,54.0,69.0,55.0,68.0,62.0,60.0,13.0,26,65.0,M. Zimmermann,55.0,62.0,39.0,69.0,68.0,74.0,75.0,66.0,66.0,58.0,11.0,69,13.0,55.0,192567
5839,66.0,37.0,66.0,7.0,70.0,76.0,13.0,73.0,48.0,78.0,64.0,71.0,53.0,68.0,70.0,59.0,69.0,66.0,13.0,28,69.0,E. Demir,53.0,53.0,68.0,62.0,65.0,77.0,76.0,69.0,72.0,72.0,11.0,69,7.0,69.0,202040
5840,51.0,67.0,42.0,7.0,71.0,80.0,15.0,56.0,72.0,70.0,55.0,80.0,41.0,65.0,46.0,64.0,58.0,64.0,7.0,26,75.0,Marco Sangalli,55.0,52.0,68.0,42.0,48.0,74.0,71.0,68.0,56.0,60.0,9.0,69,12.0,61.0,216376
5841,12.0,5.0,24.0,70.0,15.0,31.0,68.0,55.0,17.0,22.0,12.0,38.0,11.0,59.0,16.0,66.0,18.0,44.0,70.0,35,8.0,T. Hayashi,6.0,6.0,4.0,13.0,10.0,25.0,39.0,19.0,26.0,12.0,60.0,69,69.0,14.0,232505
5842,70.0,21.0,62.0,8.0,56.0,73.0,15.0,81.0,31.0,60.0,71.0,55.0,66.0,67.0,51.0,83.0,37.0,39.0,10.0,22,39.0,R. Bormuth,22.0,22.0,26.0,66.0,67.0,68.0,61.0,43.0,62.0,20.0,14.0,69,5.0,60.0,233785
5844,59.0,50.0,62.0,9.0,69.0,72.0,10.0,73.0,33.0,88.0,62.0,58.0,44.0,66.0,73.0,67.0,65.0,63.0,8.0,25,67.0,B. Martella,35.0,71.0,66.0,68.0,63.0,76.0,57.0,71.0,59.0,77.0,10.0,69,9.0,66.0,201530
5846,18.0,15.0,19.0,66.0,18.0,52.0,72.0,70.0,26.0,34.0,15.0,66.0,18.0,62.0,22.0,62.0,47.0,45.0,65.0,23,20.0,L. Choutesiotis,17.0,12.0,12.0,12.0,12.0,60.0,50.0,25.0,54.0,12.0,60.0,69,74.0,21.0,222779
5847,10.0,18.0,39.0,65.0,31.0,38.0,70.0,73.0,30.0,31.0,15.0,31.0,15.0,53.0,34.0,74.0,32.0,41.0,70.0,27,19.0,J. Blaswich,13.0,16.0,11.0,13.0,19.0,45.0,33.0,38.0,54.0,20.0,67.0,69,77.0,29.0,204092
5848,22.0,16.0,28.0,66.0,24.0,55.0,70.0,74.0,24.0,32.0,14.0,50.0,10.0,66.0,30.0,63.0,25.0,42.0,65.0,24,22.0,J. Huth,15.0,14.0,20.0,11.0,25.0,54.0,44.0,33.0,41.0,17.0,74.0,69,72.0,22.0,229692
5849,70.0,48.0,72.0,12.0,65.0,43.0,14.0,68.0,52.0,76.0,72.0,57.0,77.0,52.0,60.0,90.0,79.0,52.0,10.0,24,60.0,I. Sackey,32.0,78.0,38.0,68.0,74.0,55.0,42.0,64.0,52.0,44.0,8.0,69,7.0,41.0,235580
5850,71.0,23.0,75.0,9.0,65.0,67.0,13.0,69.0,33.0,66.0,68.0,42.0,73.0,58.0,39.0,82.0,38.0,56.0,15.0,26,62.0,Jang Hyeon Soo,26.0,21.0,22.0,67.0,63.0,68.0,47.0,48.0,65.0,26.0,14.0,69,13.0,22.0,211005
5851,11.0,8.0,22.0,70.0,21.0,31.0,68.0,68.0,25.0,36.0,10.0,36.0,10.0,73.0,31.0,65.0,21.0,43.0,69.0,35,11.0,A. Rosati,14.0,12.0,7.0,12.0,9.0,32.0,50.0,24.0,58.0,11.0,46.0,69,68.0,15.0,149309
5853,33.0,69.0,65.0,12.0,69.0,86.0,6.0,59.0,68.0,75.0,25.0,80.0,54.0,67.0,55.0,78.0,73.0,66.0,11.0,24,70.0,Anderson Lopes,52.0,69.0,61.0,19.0,25.0,85.0,50.0,62.0,65.0,58.0,14.0,69,6.0,55.0,229949
5854,66.0,50.0,62.0,10.0,66.0,83.0,8.0,66.0,42.0,78.0,65.0,75.0,56.0,63.0,63.0,62.0,56.0,52.0,8.0,26,67.0,N. Byrne,41.0,55.0,50.0,63.0,60.0,90.0,77.0,68.0,55.0,69.0,7.0,69,11.0,49.0,202814
5855,22.0,62.0,39.0,12.0,74.0,71.0,12.0,64.0,69.0,64.0,19.0,75.0,61.0,63.0,61.0,63.0,77.0,63.0,12.0,25,78.0,A. Trajkovski,66.0,78.0,61.0,21.0,25.0,78.0,63.0,66.0,59.0,64.0,12.0,69,12.0,70.0,204350
5859,21.0,60.0,52.0,13.0,69.0,84.0,10.0,90.0,44.0,68.0,22.0,91.0,49.0,66.0,58.0,47.0,77.0,60.0,10.0,20,74.0,E. Ocansey,65.0,71.0,66.0,26.0,27.0,90.0,82.0,63.0,70.0,57.0,6.0,69,9.0,67.0,234048
5860,13.0,8.0,15.0,66.0,22.0,40.0,69.0,63.0,24.0,23.0,11.0,29.0,12.0,66.0,22.0,64.0,20.0,26.0,67.0,24,10.0,B. Uphoff,9.0,7.0,10.0,13.0,12.0,36.0,34.0,36.0,23.0,11.0,68.0,69,71.0,7.0,206145
5862,70.0,55.0,68.0,9.0,69.0,52.0,13.0,75.0,56.0,72.0,70.0,61.0,70.0,67.0,65.0,71.0,66.0,60.0,12.0,32,61.0,C. Skuse,46.0,56.0,59.0,66.0,71.0,53.0,68.0,67.0,67.0,59.0,9.0,69,10.0,68.0,170305
5864,55.0,64.0,57.0,7.0,68.0,60.0,7.0,58.0,64.0,81.0,43.0,71.0,63.0,66.0,63.0,68.0,71.0,72.0,12.0,27,67.0,G. Åsen,71.0,68.0,70.0,33.0,63.0,68.0,69.0,72.0,69.0,70.0,15.0,69,13.0,65.0,197954
5865,64.0,49.0,73.0,15.0,68.0,69.0,13.0,72.0,57.0,80.0,66.0,68.0,59.0,69.0,64.0,68.0,69.0,59.0,14.0,26,60.0,M. Laba,47.0,61.0,57.0,65.0,69.0,67.0,73.0,69.0,59.0,52.0,9.0,69,14.0,63.0,214594
5866,35.0,62.0,40.0,14.0,69.0,71.0,5.0,53.0,41.0,67.0,30.0,72.0,39.0,65.0,63.0,68.0,63.0,75.0,11.0,26,75.0,G. Carabajal,43.0,73.0,71.0,36.0,26.0,68.0,74.0,65.0,62.0,59.0,9.0,69,6.0,43.0,232514
5868,56.0,54.0,55.0,16.0,66.0,76.0,8.0,55.0,58.0,80.0,68.0,76.0,61.0,69.0,66.0,62.0,66.0,63.0,16.0,28,64.0,J. Villafaña,53.0,55.0,62.0,67.0,66.0,77.0,74.0,67.0,72.0,70.0,10.0,69,6.0,61.0,184643
5870,37.0,70.0,81.0,16.0,66.0,76.0,16.0,82.0,73.0,66.0,45.0,77.0,69.0,66.0,44.0,71.0,71.0,53.0,10.0,29,64.0,J. Vaughan,66.0,62.0,71.0,34.0,48.0,73.0,53.0,54.0,69.0,55.0,11.0,69,8.0,60.0,163396
5871,70.0,30.0,57.0,10.0,52.0,51.0,6.0,75.0,36.0,65.0,74.0,46.0,68.0,63.0,47.0,74.0,40.0,30.0,6.0,25,33.0,J. Moya,29.0,33.0,22.0,66.0,72.0,63.0,51.0,58.0,55.0,28.0,6.0,69,11.0,26.0,232004
5874,28.0,66.0,49.0,9.0,71.0,89.0,8.0,57.0,57.0,62.0,19.0,82.0,21.0,62.0,61.0,30.0,69.0,66.0,8.0,26,72.0,M. Rojas,66.0,64.0,60.0,20.0,35.0,88.0,84.0,63.0,65.0,60.0,7.0,69,12.0,72.0,193092
5877,66.0,34.0,70.0,7.0,69.0,72.0,9.0,63.0,46.0,71.0,68.0,65.0,55.0,69.0,70.0,67.0,62.0,63.0,10.0,26,71.0,U. Çiftçi,34.0,61.0,67.0,64.0,60.0,78.0,68.0,72.0,58.0,73.0,13.0,69,15.0,50.0,223045
5878,71.0,45.0,65.0,15.0,65.0,72.0,7.0,62.0,48.0,72.0,72.0,70.0,62.0,68.0,64.0,74.0,56.0,61.0,6.0,27,66.0,Lucas Galvão,51.0,47.0,56.0,69.0,65.0,78.0,68.0,66.0,62.0,62.0,5.0,69,10.0,45.0,230981
5880,70.0,28.0,72.0,14.0,54.0,54.0,12.0,65.0,43.0,66.0,72.0,32.0,68.0,63.0,55.0,83.0,47.0,31.0,12.0,27,39.0,E. Saveljich,27.0,27.0,31.0,62.0,66.0,42.0,33.0,60.0,62.0,30.0,10.0,69,15.0,34.0,211270
5885,32.0,57.0,58.0,14.0,74.0,77.0,12.0,69.0,66.0,44.0,43.0,81.0,57.0,57.0,72.0,60.0,66.0,70.0,10.0,30,71.0,Jeffrén,65.0,61.0,62.0,35.0,48.0,74.0,82.0,74.0,59.0,72.0,12.0,69,14.0,75.0,189510
5887,12.0,19.0,22.0,67.0,22.0,50.0,70.0,54.0,21.0,35.0,20.0,34.0,14.0,62.0,26.0,55.0,20.0,25.0,66.0,21,20.0,G. Larsonneur,20.0,12.0,17.0,12.0,17.0,50.0,65.0,29.0,51.0,18.0,67.0,69,71.0,11.0,230727
5889,39.0,64.0,56.0,11.0,72.0,67.0,10.0,58.0,61.0,72.0,47.0,72.0,57.0,64.0,68.0,60.0,68.0,70.0,11.0,30,71.0,E. Bourgaud,70.0,67.0,63.0,45.0,35.0,62.0,66.0,71.0,65.0,69.0,12.0,69,7.0,72.0,182856
5890,41.0,64.0,58.0,9.0,69.0,89.0,15.0,82.0,58.0,85.0,23.0,89.0,41.0,52.0,58.0,42.0,65.0,51.0,16.0,27,69.0,P. Huspek,49.0,59.0,57.0,21.0,23.0,91.0,84.0,65.0,49.0,66.0,14.0,69,7.0,64.0,192328
5891,61.0,70.0,51.0,16.0,71.0,75.0,10.0,61.0,65.0,72.0,56.0,66.0,67.0,61.0,70.0,64.0,70.0,63.0,11.0,29,71.0,G. Maluleka,66.0,66.0,64.0,62.0,60.0,78.0,77.0,77.0,62.0,71.0,10.0,69,8.0,68.0,203593
5892,45.0,70.0,65.0,8.0,66.0,68.0,11.0,65.0,73.0,65.0,38.0,54.0,65.0,61.0,45.0,85.0,71.0,52.0,9.0,26,67.0,T. Jurić,72.0,68.0,71.0,36.0,48.0,54.0,46.0,58.0,67.0,56.0,14.0,69,14.0,45.0,213321
5893,74.0,26.0,61.0,7.0,48.0,57.0,14.0,77.0,29.0,62.0,74.0,41.0,68.0,58.0,48.0,76.0,36.0,38.0,14.0,26,58.0,F. Scaglia,22.0,27.0,30.0,72.0,64.0,54.0,55.0,58.0,58.0,31.0,6.0,69,12.0,24.0,220489
5896,70.0,42.0,65.0,10.0,54.0,69.0,8.0,91.0,39.0,71.0,67.0,59.0,66.0,68.0,58.0,76.0,23.0,59.0,11.0,27,44.0,C. Dibon,20.0,24.0,39.0,65.0,72.0,68.0,63.0,59.0,69.0,34.0,11.0,69,9.0,39.0,203850
5897,70.0,27.0,72.0,8.0,69.0,76.0,10.0,66.0,40.0,67.0,72.0,76.0,54.0,64.0,63.0,63.0,54.0,59.0,13.0,21,64.0,R. Petretta,41.0,28.0,59.0,67.0,61.0,82.0,77.0,65.0,64.0,69.0,9.0,69,14.0,32.0,237642
5901,60.0,38.0,64.0,11.0,68.0,83.0,9.0,55.0,45.0,83.0,65.0,70.0,60.0,65.0,60.0,60.0,59.0,56.0,9.0,24,67.0,L. Bittante,39.0,40.0,59.0,67.0,60.0,68.0,54.0,68.0,60.0,68.0,12.0,69,7.0,52.0,216139
5902,68.0,52.0,65.0,10.0,65.0,71.0,9.0,73.0,63.0,70.0,68.0,71.0,57.0,69.0,64.0,72.0,66.0,64.0,8.0,32,60.0,E. Velarde,61.0,61.0,56.0,68.0,66.0,68.0,72.0,66.0,63.0,70.0,13.0,69,10.0,60.0,157515
5904,61.0,34.0,69.0,6.0,51.0,53.0,9.0,66.0,55.0,67.0,72.0,57.0,68.0,63.0,54.0,81.0,64.0,44.0,12.0,30,50.0,M. Cahais,46.0,53.0,31.0,70.0,71.0,49.0,48.0,64.0,64.0,48.0,12.0,69,16.0,47.0,172620
5906,24.0,61.0,59.0,16.0,69.0,75.0,12.0,86.0,44.0,71.0,15.0,78.0,58.0,67.0,57.0,59.0,58.0,67.0,16.0,25,71.0,M. Sax,46.0,49.0,71.0,21.0,32.0,75.0,70.0,63.0,64.0,66.0,15.0,69,11.0,61.0,203853
5908,8.0,20.0,19.0,68.0,15.0,46.0,71.0,59.0,15.0,38.0,17.0,39.0,15.0,68.0,27.0,45.0,21.0,50.0,64.0,22,15.0,P. Bråtveit,17.0,15.0,20.0,13.0,23.0,45.0,59.0,24.0,50.0,15.0,64.0,69,69.0,13.0,211021
5909,68.0,33.0,81.0,14.0,64.0,57.0,15.0,77.0,56.0,76.0,67.0,58.0,55.0,70.0,64.0,83.0,54.0,64.0,9.0,28,52.0,F. Píriz,43.0,53.0,53.0,66.0,66.0,60.0,59.0,64.0,61.0,63.0,12.0,69,8.0,49.0,213325
5911,20.0,77.0,33.0,13.0,67.0,56.0,11.0,73.0,67.0,63.0,21.0,57.0,74.0,67.0,44.0,59.0,71.0,48.0,14.0,24,63.0,P. Hamel,45.0,66.0,71.0,24.0,17.0,64.0,71.0,57.0,58.0,40.0,13.0,69,13.0,42.0,236621
5912,56.0,41.0,68.0,12.0,68.0,63.0,9.0,75.0,40.0,78.0,69.0,75.0,57.0,72.0,66.0,65.0,68.0,72.0,12.0,31,67.0,K. Mączyński,34.0,68.0,68.0,66.0,70.0,66.0,77.0,69.0,72.0,69.0,11.0,69,8.0,72.0,174669
5914,72.0,44.0,66.0,14.0,62.0,50.0,11.0,72.0,44.0,69.0,67.0,60.0,70.0,60.0,68.0,79.0,76.0,59.0,8.0,24,51.0,R. Pröpper,34.0,63.0,36.0,65.0,66.0,50.0,55.0,65.0,63.0,40.0,6.0,69,14.0,64.0,208462
5915,65.0,61.0,76.0,15.0,71.0,53.0,8.0,80.0,57.0,90.0,68.0,48.0,77.0,75.0,66.0,93.0,76.0,66.0,13.0,32,64.0,C. N'Doye,55.0,67.0,70.0,62.0,69.0,54.0,41.0,62.0,55.0,68.0,14.0,69,8.0,60.0,219470
5917,67.0,17.0,62.0,16.0,57.0,64.0,13.0,72.0,38.0,55.0,71.0,53.0,67.0,65.0,52.0,77.0,36.0,41.0,6.0,20,44.0,C. Carter-Vickers,26.0,16.0,27.0,67.0,66.0,61.0,60.0,62.0,60.0,40.0,8.0,69,10.0,27.0,228174
5918,62.0,26.0,68.0,7.0,66.0,75.0,10.0,64.0,42.0,81.0,67.0,56.0,65.0,65.0,65.0,72.0,45.0,45.0,12.0,20,61.0,E. Cobbaut,33.0,36.0,47.0,68.0,66.0,62.0,59.0,64.0,57.0,70.0,7.0,69,7.0,62.0,232526
5919,63.0,34.0,73.0,14.0,58.0,50.0,9.0,80.0,41.0,71.0,68.0,29.0,70.0,58.0,63.0,90.0,69.0,54.0,7.0,31,55.0,M. Dąbrowski,47.0,51.0,26.0,64.0,65.0,48.0,33.0,55.0,68.0,35.0,7.0,69,15.0,44.0,187982
5920,49.0,68.0,60.0,9.0,67.0,87.0,9.0,90.0,59.0,62.0,25.0,81.0,56.0,64.0,52.0,35.0,71.0,68.0,9.0,27,69.0,F. Picault,64.0,59.0,65.0,26.0,42.0,90.0,82.0,66.0,67.0,62.0,7.0,69,6.0,65.0,230991
5923,69.0,29.0,63.0,13.0,66.0,72.0,7.0,64.0,43.0,69.0,72.0,68.0,53.0,64.0,54.0,54.0,45.0,48.0,5.0,21,67.0,L. Dickmann,47.0,45.0,63.0,74.0,65.0,73.0,69.0,63.0,64.0,67.0,5.0,69,9.0,55.0,229456
5926,31.0,66.0,73.0,8.0,66.0,77.0,6.0,80.0,33.0,74.0,19.0,78.0,64.0,64.0,60.0,61.0,63.0,67.0,5.0,27,69.0,M. Watkins,55.0,61.0,64.0,21.0,22.0,83.0,84.0,67.0,53.0,61.0,6.0,69,5.0,56.0,189776
5930,67.0,34.0,77.0,14.0,51.0,65.0,9.0,74.0,54.0,68.0,68.0,59.0,68.0,66.0,71.0,78.0,84.0,49.0,7.0,26,33.0,B. Behrendt,34.0,71.0,42.0,74.0,61.0,64.0,60.0,66.0,62.0,43.0,15.0,69,15.0,36.0,207954
5933,50.0,64.0,65.0,8.0,74.0,79.0,7.0,65.0,57.0,69.0,46.0,77.0,32.0,49.0,66.0,69.0,71.0,69.0,6.0,19,71.0,M. Svanberg,53.0,69.0,48.0,48.0,46.0,81.0,67.0,69.0,67.0,68.0,13.0,69,12.0,66.0,228946
5935,63.0,55.0,68.0,12.0,68.0,68.0,7.0,74.0,53.0,83.0,65.0,83.0,28.0,67.0,67.0,52.0,60.0,58.0,16.0,28,71.0,K. D'Haene,54.0,58.0,63.0,67.0,70.0,77.0,92.0,67.0,60.0,72.0,14.0,69,14.0,54.0,200532
5937,71.0,25.0,77.0,16.0,51.0,42.0,17.0,73.0,45.0,54.0,70.0,63.0,62.0,70.0,48.0,70.0,60.0,46.0,12.0,26,20.0,Paulo Fajarda,22.0,27.0,21.0,69.0,75.0,65.0,57.0,47.0,66.0,52.0,12.0,69,11.0,35.0,230228
5938,62.0,40.0,78.0,11.0,65.0,60.0,14.0,71.0,38.0,89.0,68.0,47.0,71.0,58.0,61.0,82.0,65.0,56.0,6.0,31,51.0,Germán,14.0,12.0,40.0,64.0,66.0,54.0,50.0,70.0,62.0,42.0,6.0,69,9.0,28.0,198230
5941,24.0,70.0,60.0,15.0,63.0,52.0,12.0,76.0,67.0,52.0,34.0,62.0,75.0,70.0,56.0,74.0,69.0,61.0,6.0,35,60.0,Toché,76.0,62.0,75.0,22.0,36.0,55.0,56.0,65.0,70.0,52.0,12.0,69,11.0,68.0,157270
5944,66.0,53.0,78.0,8.0,66.0,67.0,14.0,80.0,44.0,73.0,67.0,81.0,47.0,70.0,67.0,77.0,60.0,68.0,15.0,26,69.0,S. Morsy,49.0,60.0,60.0,58.0,68.0,65.0,78.0,70.0,76.0,52.0,8.0,69,13.0,39.0,197975
5945,57.0,65.0,60.0,14.0,68.0,63.0,7.0,66.0,64.0,76.0,60.0,69.0,45.0,62.0,67.0,66.0,70.0,73.0,15.0,24,68.0,T. Antonis,56.0,71.0,62.0,53.0,60.0,66.0,69.0,69.0,70.0,58.0,16.0,69,15.0,63.0,200535
5946,36.0,66.0,46.0,14.0,66.0,77.0,13.0,72.0,59.0,75.0,47.0,74.0,52.0,58.0,60.0,70.0,61.0,66.0,10.0,23,68.0,M. Duffy,63.0,59.0,67.0,47.0,46.0,75.0,74.0,67.0,65.0,68.0,8.0,69,12.0,61.0,210263
5947,65.0,27.0,64.0,6.0,73.0,74.0,12.0,70.0,38.0,51.0,68.0,66.0,68.0,60.0,68.0,66.0,42.0,51.0,9.0,24,62.0,A. Ndour,43.0,23.0,54.0,73.0,68.0,68.0,67.0,69.0,66.0,71.0,12.0,69,14.0,64.0,215383
5949,70.0,35.0,70.0,11.0,68.0,72.0,9.0,74.0,32.0,66.0,70.0,69.0,62.0,60.0,60.0,59.0,31.0,48.0,8.0,21,69.0,K. Walker-Peters,25.0,41.0,60.0,69.0,64.0,77.0,81.0,66.0,66.0,69.0,7.0,69,12.0,50.0,227927
5950,27.0,72.0,80.0,16.0,68.0,48.0,15.0,92.0,79.0,29.0,17.0,68.0,78.0,67.0,59.0,77.0,76.0,41.0,13.0,36,59.0,C. Luna,59.0,65.0,62.0,16.0,45.0,64.0,73.0,74.0,68.0,68.0,12.0,69,7.0,62.0,169815
5951,70.0,26.0,65.0,12.0,69.0,68.0,13.0,64.0,27.0,77.0,67.0,61.0,63.0,66.0,65.0,66.0,65.0,59.0,13.0,25,59.0,J. Bidwell,44.0,51.0,63.0,65.0,65.0,70.0,64.0,66.0,66.0,68.0,12.0,69,12.0,58.0,196952
5954,66.0,52.0,70.0,6.0,69.0,77.0,10.0,73.0,52.0,79.0,67.0,76.0,52.0,63.0,62.0,57.0,64.0,54.0,10.0,29,66.0,J. Paganoni,52.0,56.0,60.0,65.0,64.0,79.0,77.0,65.0,62.0,68.0,15.0,69,8.0,48.0,179800
5955,63.0,44.0,90.0,6.0,54.0,48.0,15.0,85.0,49.0,50.0,62.0,36.0,72.0,59.0,66.0,82.0,56.0,44.0,11.0,32,48.0,A. Collin,32.0,44.0,40.0,62.0,68.0,48.0,61.0,59.0,57.0,42.0,6.0,69,11.0,40.0,184664
5956,68.0,37.0,65.0,6.0,65.0,76.0,12.0,81.0,51.0,78.0,62.0,76.0,49.0,65.0,70.0,69.0,49.0,55.0,16.0,32,59.0,Ripa,30.0,35.0,61.0,69.0,66.0,75.0,69.0,66.0,55.0,72.0,11.0,69,11.0,60.0,146521
5957,69.0,31.0,69.0,10.0,59.0,78.0,6.0,70.0,33.0,76.0,72.0,68.0,57.0,64.0,59.0,82.0,58.0,43.0,10.0,32,49.0,Galán,59.0,54.0,70.0,68.0,65.0,69.0,65.0,58.0,67.0,75.0,6.0,69,8.0,74.0,193369
5959,29.0,62.0,45.0,9.0,68.0,73.0,9.0,71.0,74.0,68.0,50.0,76.0,56.0,62.0,75.0,52.0,67.0,71.0,15.0,26,67.0,Sandro Maceira,63.0,56.0,67.0,46.0,59.0,70.0,62.0,72.0,73.0,70.0,8.0,69,11.0,66.0,230490
5962,28.0,62.0,45.0,10.0,67.0,78.0,15.0,69.0,63.0,79.0,23.0,77.0,46.0,63.0,53.0,63.0,60.0,68.0,15.0,31,72.0,R. Holmes,56.0,67.0,62.0,19.0,31.0,77.0,83.0,63.0,53.0,66.0,16.0,69,11.0,71.0,199516
5963,66.0,21.0,58.0,11.0,61.0,81.0,7.0,72.0,36.0,82.0,70.0,82.0,53.0,63.0,59.0,58.0,26.0,37.0,12.0,28,57.0,J. Cordoval,21.0,28.0,43.0,66.0,63.0,82.0,83.0,64.0,65.0,63.0,12.0,69,14.0,35.0,215388
5964,30.0,67.0,56.0,8.0,70.0,52.0,12.0,65.0,66.0,53.0,38.0,63.0,64.0,78.0,54.0,66.0,58.0,75.0,6.0,34,69.0,M. Radović,56.0,53.0,73.0,31.0,37.0,62.0,68.0,68.0,77.0,62.0,13.0,69,6.0,66.0,167516
5965,30.0,70.0,48.0,7.0,69.0,69.0,7.0,79.0,64.0,65.0,42.0,63.0,72.0,60.0,35.0,82.0,71.0,51.0,7.0,27,67.0,G. Zigoni,63.0,53.0,71.0,34.0,30.0,63.0,49.0,59.0,65.0,40.0,14.0,69,7.0,48.0,191068
5966,66.0,62.0,57.0,14.0,73.0,72.0,9.0,67.0,61.0,65.0,57.0,77.0,67.0,68.0,69.0,62.0,72.0,68.0,7.0,27,69.0,J. Corona,63.0,66.0,69.0,51.0,65.0,72.0,69.0,71.0,65.0,64.0,7.0,69,16.0,69.0,198749
5967,43.0,68.0,74.0,10.0,65.0,70.0,10.0,74.0,57.0,69.0,22.0,60.0,70.0,67.0,49.0,87.0,73.0,57.0,7.0,28,60.0,W. Bruin,63.0,64.0,71.0,21.0,31.0,59.0,55.0,60.0,69.0,45.0,12.0,69,10.0,65.0,202077
5968,67.0,25.0,72.0,10.0,56.0,73.0,10.0,74.0,38.0,75.0,68.0,50.0,61.0,64.0,63.0,74.0,34.0,42.0,16.0,21,41.0,J. Glad,29.0,25.0,21.0,64.0,72.0,74.0,67.0,69.0,63.0,27.0,10.0,69,6.0,23.0,222557
5969,70.0,46.0,67.0,15.0,59.0,42.0,15.0,44.0,49.0,55.0,71.0,50.0,73.0,67.0,59.0,84.0,63.0,57.0,15.0,33,55.0,D. Gordon,39.0,50.0,44.0,63.0,65.0,43.0,41.0,63.0,63.0,56.0,15.0,69,14.0,57.0,182621
5971,70.0,34.0,60.0,13.0,68.0,78.0,14.0,70.0,38.0,70.0,69.0,68.0,58.0,70.0,62.0,70.0,51.0,55.0,8.0,20,66.0,E. Konsa,35.0,32.0,50.0,70.0,66.0,74.0,75.0,73.0,70.0,38.0,11.0,69,9.0,37.0,227678
5973,57.0,59.0,77.0,8.0,67.0,63.0,6.0,49.0,62.0,79.0,72.0,56.0,42.0,65.0,69.0,69.0,70.0,63.0,14.0,28,65.0,L. Murphy,47.0,72.0,56.0,68.0,66.0,63.0,64.0,72.0,66.0,66.0,16.0,69,15.0,68.0,189278
5974,48.0,68.0,43.0,8.0,68.0,82.0,7.0,69.0,67.0,45.0,26.0,80.0,59.0,65.0,59.0,70.0,70.0,57.0,11.0,27,71.0,Chuli,54.0,56.0,73.0,29.0,40.0,73.0,70.0,65.0,67.0,68.0,12.0,69,15.0,59.0,207711
5975,68.0,28.0,65.0,11.0,62.0,70.0,15.0,74.0,42.0,82.0,68.0,68.0,70.0,70.0,64.0,71.0,51.0,54.0,9.0,28,58.0,D. Suzuki,38.0,25.0,41.0,65.0,66.0,69.0,71.0,66.0,58.0,58.0,7.0,69,9.0,35.0,233055
5977,34.0,59.0,48.0,10.0,68.0,90.0,14.0,87.0,54.0,69.0,36.0,84.0,49.0,65.0,59.0,60.0,71.0,64.0,7.0,30,71.0,I. Ouali,61.0,64.0,57.0,37.0,41.0,88.0,79.0,65.0,62.0,66.0,7.0,69,11.0,65.0,184927
5978,43.0,65.0,78.0,15.0,69.0,67.0,13.0,71.0,66.0,74.0,53.0,67.0,63.0,71.0,61.0,70.0,73.0,69.0,7.0,34,67.0,B. Holman,64.0,72.0,71.0,48.0,60.0,63.0,71.0,68.0,62.0,69.0,9.0,69,15.0,60.0,138336
5979,68.0,40.0,52.0,12.0,74.0,73.0,13.0,63.0,42.0,69.0,70.0,70.0,59.0,67.0,62.0,69.0,42.0,51.0,12.0,23,68.0,J. Gyamerah,26.0,64.0,57.0,63.0,68.0,73.0,75.0,68.0,77.0,63.0,15.0,69,11.0,61.0,216416
5982,22.0,15.0,38.0,69.0,22.0,35.0,70.0,64.0,22.0,34.0,14.0,46.0,16.0,70.0,27.0,60.0,23.0,47.0,64.0,36,12.0,T. Kuszczak,16.0,15.0,11.0,13.0,28.0,38.0,48.0,26.0,41.0,16.0,63.0,69,70.0,13.0,101473
5983,48.0,60.0,62.0,10.0,68.0,85.0,11.0,66.0,60.0,76.0,29.0,90.0,51.0,67.0,44.0,36.0,69.0,65.0,12.0,21,74.0,L. Blessing,62.0,58.0,63.0,29.0,39.0,89.0,83.0,62.0,60.0,55.0,9.0,69,12.0,43.0,237153
5984,68.0,66.0,80.0,15.0,67.0,59.0,13.0,85.0,69.0,80.0,70.0,57.0,71.0,69.0,64.0,77.0,70.0,60.0,9.0,29,63.0,D. Meyler,64.0,60.0,65.0,64.0,65.0,55.0,54.0,66.0,73.0,66.0,14.0,69,12.0,50.0,187489
5985,66.0,23.0,77.0,14.0,51.0,68.0,7.0,76.0,33.0,78.0,67.0,63.0,67.0,65.0,59.0,77.0,57.0,30.0,7.0,26,26.0,J. Czerwiński,44.0,22.0,35.0,65.0,68.0,55.0,64.0,63.0,67.0,30.0,9.0,69,13.0,33.0,214882
5986,58.0,65.0,56.0,11.0,67.0,82.0,7.0,70.0,54.0,72.0,34.0,85.0,45.0,57.0,65.0,55.0,68.0,64.0,9.0,28,66.0,R. Vilchis,54.0,67.0,66.0,32.0,28.0,80.0,86.0,67.0,64.0,68.0,15.0,69,11.0,57.0,192354
